"trait","lhs","rhs","est.std","se","pvalue","ci.lower","ci.upper"
"extr","wp_extr2","wp_extr1",0.286571706569485,0.0251002626465284,0,0.237376095779793,0.335767317359177
"extr","wp_extr3","wp_extr2",0.0373409773744256,0.034282903025923,0.276065192270531,-0.0298522778418627,0.104534232590714
"extr","wp_extr4","wp_extr3",0.0491356514988783,0.036678948529501,0.18037070544063,-0.022753766609742,0.121025069607499
"extr","wp_extr5","wp_extr4",0.268729800998247,0.0277867625103623,0,0.21426874723097,0.323190854765525
"extr","wp_substance_use2","wp_substance_use1",0.148961708366402,0.0959269018845135,0.120454941895945,-0.0390515644757516,0.336974981208556
"extr","wp_substance_use3","wp_substance_use2",0.103398948220511,0.119596031924284,0.387275730900782,-0.131004967044988,0.337802863486009
"extr","wp_substance_use4","wp_substance_use3",0.126714888426126,0.195318163812754,0.516492600671959,-0.256101678173367,0.509531455025619
"extr","wp_substance_use5","wp_substance_use4",0.0647308352194695,0.167515463328925,0.699187806914872,-0.263593439758764,0.393055110197703
"extr","wp_substance_use2","wp_extr1",-0.0469669024673874,0.0307602795744334,0.126793709549591,-0.10725594258766,0.013322137652885
"extr","wp_substance_use3","wp_extr2",0.0281271861183482,0.0314492617721226,0.371125491138466,-0.0335122342953845,0.0897666065320809
"extr","wp_substance_use4","wp_extr3",0.017936240727033,0.0393909368719436,0.648865173324104,-0.0592685768592673,0.0951410583133333
"extr","wp_substance_use5","wp_extr4",0.0123482585649109,0.0344729231934954,0.720192399585123,-0.0552174293361556,0.0799139464659774
"extr","wp_extr2","wp_substance_use1",0.0274571243528332,0.0276013355080353,0.319845605229482,-0.0266404991681226,0.0815547478737889
"extr","wp_extr3","wp_substance_use2",-0.00718696056095009,0.0262870099356407,0.784543061464019,-0.0587085532960524,0.0443346321741522
"extr","wp_extr4","wp_substance_use3",0.028254770818763,0.0305678515305976,0.355314721737527,-0.0316571172659759,0.0881666589035019
"extr","wp_extr5","wp_substance_use4",-0.0101296166299976,0.0257417412144197,0.693943297281914,-0.0605825023096105,0.0403232690496153
"open","wp_open2","wp_open1",0.214973733773556,0.025468086539625,0,0.165057201400741,0.26489026614637
"open","wp_open3","wp_open2",0.034896348871109,0.0284847034424674,0.220541001300712,-0.0209326439864311,0.0907253417286492
"open","wp_open4","wp_open3",0.0499766606714354,0.0292496543328903,0.0875206246111657,-0.00735160838127557,0.107304929724146
"open","wp_open5","wp_open4",0.206366174601778,0.0269525353306973,1.90958360235527e-14,0.153540176061568,0.259192173141988
"open","wp_substance_use2","wp_substance_use1",0.146637245948232,0.096579846121007,0.128938616585356,-0.0426557740813626,0.335930265977826
"open","wp_substance_use3","wp_substance_use2",0.102184624680874,0.119017046540297,0.390577057848859,-0.131084500084436,0.335453749446183
"open","wp_substance_use4","wp_substance_use3",0.128805567109577,0.193704093968231,0.506075771251657,-0.250847480726117,0.508458614945271
"open","wp_substance_use5","wp_substance_use4",0.0656587832458848,0.168725171851262,0.697167894736209,-0.26503647686792,0.39635404335969
"open","wp_substance_use2","wp_open1",0.010850029104866,0.0260969516849331,0.677586739904879,-0.0402990563038849,0.0619991145136168
"open","wp_substance_use3","wp_open2",-0.00281147619755852,0.0284689188000018,0.921332014252262,-0.0586095317243572,0.0529865793292402
"open","wp_substance_use4","wp_open3",0.00512727440338799,0.0377694195877523,0.892017334869208,-0.0688994277055881,0.0791539765123641
"open","wp_substance_use5","wp_open4",0.0121916647867651,0.025702758248293,0.635262508189825,-0.0381848156832289,0.0625681452567591
"open","wp_open2","wp_substance_use1",0.00343183814926844,0.0269395511523966,0.898631474189755,-0.0493687118691035,0.0562323881676403
"open","wp_open3","wp_substance_use2",0.0225057209482343,0.0214767332840801,0.294679272717224,-0.0195879027941355,0.064599344690604
"open","wp_open4","wp_substance_use3",-0.00695676112012706,0.0256555667758686,0.786268047118502,-0.0572407480037918,0.0433272257635377
"open","wp_open5","wp_substance_use4",-0.00552351076311834,0.0279337712433647,0.843251661844471,-0.0602726963524937,0.049225674826257
"cons","wp_cons2","wp_cons1",0.325413917539837,0.0231820278674833,0,0.279977977830966,0.370849857248709
"cons","wp_cons3","wp_cons2",0.137931227267916,0.0285558383907034,1.36376386694614e-06,0.0819628124737914,0.193899642062041
"cons","wp_cons4","wp_cons3",0.0804379088656711,0.0308298358321331,0.00907825663026229,0.0200125409854077,0.140863276745934
"cons","wp_cons5","wp_cons4",0.164039892932184,0.0323490874566245,3.95880561887552e-07,0.100636846584464,0.227442939279905
"cons","wp_substance_use2","wp_substance_use1",0.144832061153701,0.0956399306973647,0.129937803509918,-0.0426187584970402,0.332282880804443
"cons","wp_substance_use3","wp_substance_use2",0.104549253015148,0.117928495380175,0.375322386064137,-0.126586350680992,0.335684856711288
"cons","wp_substance_use4","wp_substance_use3",0.128946064912375,0.192218120572648,0.502327563919776,-0.247794528585992,0.505686658410742
"cons","wp_substance_use5","wp_substance_use4",0.0657894781625019,0.166795998230699,0.693263011760247,-0.261124671135074,0.392703627460078
"cons","wp_substance_use2","wp_cons1",0.00230017838638214,0.0293088895814821,0.937445784735591,-0.055144189620184,0.0597445463929483
"cons","wp_substance_use3","wp_cons2",-0.0195673024908543,0.0336942036632708,0.561421086994007,-0.0856067281586226,0.0464721231769141
"cons","wp_substance_use4","wp_cons3",-0.0200670027604334,0.0291458417538531,0.491136011005818,-0.0771918028970892,0.0370577973762223
"cons","wp_substance_use5","wp_cons4",-0.0176006010476672,0.0279957007364721,0.529552401523614,-0.0724711662131139,0.0372699641177796
"cons","wp_cons2","wp_substance_use1",-0.00407164791338572,0.0203914545181914,0.841735371910147,-0.0440381643614275,0.035894868534656
"cons","wp_cons3","wp_substance_use2",0.0201789297997353,0.0210137731687057,0.33691853435261,-0.0210073087902219,0.0613651683896926
"cons","wp_cons4","wp_substance_use3",-0.0332811731353809,0.0340782169003815,0.328761601932247,-0.100073250917473,0.0335109046467111
"cons","wp_cons5","wp_substance_use4",-0.0470393299190927,0.0275938796005531,0.0882500966205515,-0.101122340129911,0.00704368029172576
